accuracy / Metric:LA	sentencelength / Metric:LA	accuracy / Metric:UAS	sentencelength / Metric:UAS	accuracy / Metric:LAS	sentencelength / Metric:LAS	Sentence
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
90.8514%	3396.5300%	86.9688%	3396.5300%	83.4821%	3396.5300%	Row mean
317	317	317	317	317	317	Row count
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
88.2353%	34	88.2353%	34	88.2353%	34	116
100.0000%	3	100.0000%	3	100.0000%	3	117
87.8049%	41	78.0488%	41	73.1707%	41	118
88.0000%	25	80.0000%	25	76.0000%	25	119
100.0000%	38	100.0000%	38	100.0000%	38	120
88.2353%	34	73.5294%	34	73.5294%	34	121
61.5385%	13	69.2308%	13	61.5385%	13	122
88.5714%	35	94.2857%	35	82.8571%	35	123
97.4359%	39	92.3077%	39	92.3077%	39	124
83.3333%	42	69.0476%	42	64.2857%	42	125
81.8182%	55	74.5455%	55	67.2727%	55	126
91.6667%	24	91.6667%	24	83.3333%	24	127
82.6087%	23	95.6522%	23	78.2609%	23	128
78.9474%	19	84.2105%	19	73.6842%	19	129
83.9286%	56	87.5000%	56	78.5714%	56	130
100.0000%	3	100.0000%	3	100.0000%	3	131
94.2857%	35	91.4286%	35	88.5714%	35	132
91.6667%	24	91.6667%	24	87.5000%	24	133
98.0000%	50	92.0000%	50	92.0000%	50	134
86.6667%	45	62.2222%	45	60.0000%	45	135
84.3137%	102	66.6667%	102	60.7843%	102	136
100.0000%	4	100.0000%	4	100.0000%	4	137
100.0000%	8	100.0000%	8	100.0000%	8	138
100.0000%	1	100.0000%	1	100.0000%	1	139
100.0000%	5	100.0000%	5	100.0000%	5	140
87.0690%	116	67.2414%	116	64.6552%	116	141
94.7368%	19	73.6842%	19	73.6842%	19	142
84.9057%	53	69.8113%	53	66.0377%	53	143
91.4286%	35	80.0000%	35	80.0000%	35	144
92.8571%	14	92.8571%	14	92.8571%	14	145
100.0000%	2	100.0000%	2	100.0000%	2	146
85.7143%	7	85.7143%	7	71.4286%	7	147
94.4444%	18	100.0000%	18	94.4444%	18	148
100.0000%	11	100.0000%	11	100.0000%	11	149
100.0000%	8	100.0000%	8	100.0000%	8	150
100.0000%	12	100.0000%	12	100.0000%	12	151
90.0000%	10	100.0000%	10	90.0000%	10	152
100.0000%	32	90.6250%	32	90.6250%	32	153
78.8462%	52	73.0769%	52	67.3077%	52	154
88.4058%	138	88.4058%	138	80.4348%	138	155
94.7368%	38	89.4737%	38	86.8421%	38	156
91.1111%	45	93.3333%	45	86.6667%	45	157
89.6552%	58	86.2069%	58	82.7586%	58	158
79.1667%	24	79.1667%	24	70.8333%	24	159
86.3636%	22	86.3636%	22	81.8182%	22	160
92.8571%	14	100.0000%	14	92.8571%	14	161
90.0000%	20	100.0000%	20	90.0000%	20	162
90.0000%	50	80.0000%	50	78.0000%	50	163
86.0465%	43	86.0465%	43	76.7442%	43	164
88.2353%	85	84.7059%	85	77.6471%	85	165
87.5000%	16	93.7500%	16	87.5000%	16	166
94.2857%	35	97.1429%	35	91.4286%	35	167
90.2439%	41	90.2439%	41	87.8049%	41	168
90.9091%	11	81.8182%	11	81.8182%	11	169
94.1176%	51	90.1961%	51	86.2745%	51	170
100.0000%	9	88.8889%	9	88.8889%	9	171
85.7143%	21	80.9524%	21	71.4286%	21	172
97.1429%	35	94.2857%	35	91.4286%	35	173
93.2515%	163	92.0245%	163	88.9571%	163	174
100.0000%	14	100.0000%	14	100.0000%	14	175
100.0000%	30	96.6667%	30	96.6667%	30	176
85.7143%	28	85.7143%	28	82.1429%	28	177
100.0000%	10	100.0000%	10	100.0000%	10	178
100.0000%	15	93.3333%	15	93.3333%	15	179
87.5000%	8	87.5000%	8	75.0000%	8	180
100.0000%	11	100.0000%	11	100.0000%	11	181
93.7500%	32	96.8750%	32	93.7500%	32	182
100.0000%	12	100.0000%	12	100.0000%	12	183
100.0000%	4	100.0000%	4	100.0000%	4	184
88.5246%	61	85.2459%	61	78.6885%	61	185
100.0000%	3	66.6667%	3	66.6667%	3	186
100.0000%	6	100.0000%	6	100.0000%	6	187
86.6667%	15	80.0000%	15	66.6667%	15	188
67.6471%	34	61.7647%	34	55.8824%	34	189
85.7143%	21	71.4286%	21	71.4286%	21	190
73.3333%	15	40.0000%	15	40.0000%	15	191
55.5556%	9	22.2222%	9	22.2222%	9	192
100.0000%	33	96.9697%	33	96.9697%	33	193
91.6667%	24	95.8333%	24	91.6667%	24	194
90.0000%	20	95.0000%	20	90.0000%	20	195
77.7778%	18	66.6667%	18	61.1111%	18	196
91.6667%	12	100.0000%	12	91.6667%	12	197
100.0000%	8	100.0000%	8	100.0000%	8	198
92.3077%	13	92.3077%	13	92.3077%	13	199
86.8421%	38	94.7368%	38	84.2105%	38	200
90.0000%	20	95.0000%	20	85.0000%	20	201
94.1176%	17	88.2353%	17	88.2353%	17	202
88.0952%	42	88.0952%	42	85.7143%	42	203
95.0617%	81	96.2963%	81	93.8272%	81	204
100.0000%	4	100.0000%	4	100.0000%	4	205
100.0000%	5	100.0000%	5	100.0000%	5	206
100.0000%	54	98.1481%	54	98.1481%	54	207
80.7692%	26	76.9231%	26	73.0769%	26	208
85.4167%	48	77.0833%	48	72.9167%	48	209
85.7143%	7	85.7143%	7	71.4286%	7	210
100.0000%	1	100.0000%	1	100.0000%	1	211
100.0000%	2	100.0000%	2	100.0000%	2	212
75.0000%	4	100.0000%	4	75.0000%	4	213
78.5714%	14	50.0000%	14	42.8571%	14	214
100.0000%	12	100.0000%	12	100.0000%	12	215
93.7500%	32	90.6250%	32	87.5000%	32	216
89.4737%	19	68.4211%	19	68.4211%	19	217
87.5000%	8	75.0000%	8	75.0000%	8	218
85.7143%	14	71.4286%	14	64.2857%	14	219
100.0000%	14	92.8571%	14	92.8571%	14	220
97.3684%	38	92.1053%	38	89.4737%	38	221
100.0000%	5	100.0000%	5	100.0000%	5	222
94.2308%	52	92.3077%	52	88.4615%	52	223
88.2353%	34	64.7059%	34	64.7059%	34	224
97.4359%	39	82.0513%	39	82.0513%	39	225
83.0189%	53	64.1509%	53	62.2642%	53	226
100.0000%	3	100.0000%	3	100.0000%	3	227
76.3636%	55	63.6364%	55	56.3636%	55	228
80.0000%	20	90.0000%	20	75.0000%	20	229
80.6452%	31	77.4194%	31	70.9677%	31	230
85.7143%	21	66.6667%	21	61.9048%	21	231
88.8889%	18	88.8889%	18	77.7778%	18	232
94.1176%	17	88.2353%	17	82.3529%	17	233
100.0000%	15	100.0000%	15	100.0000%	15	234
94.1176%	17	94.1176%	17	88.2353%	17	235
87.2340%	47	82.9787%	47	80.8511%	47	236
82.7586%	29	72.4138%	29	72.4138%	29	237
78.9474%	19	57.8947%	19	57.8947%	19	238
100.0000%	7	100.0000%	7	100.0000%	7	239
82.3529%	85	76.4706%	85	71.7647%	85	240
96.5517%	29	89.6552%	29	89.6552%	29	241
100.0000%	16	93.7500%	16	93.7500%	16	242
79.4521%	73	67.1233%	73	64.3836%	73	243
88.4615%	26	96.1538%	26	84.6154%	26	244
100.0000%	21	90.4762%	21	90.4762%	21	245
91.8033%	61	88.5246%	61	81.9672%	61	246
88.5246%	61	83.6066%	61	75.4098%	61	247
92.5000%	40	90.0000%	40	87.5000%	40	248
84.2105%	19	78.9474%	19	78.9474%	19	249
92.8571%	28	92.8571%	28	89.2857%	28	250
84.4444%	45	77.7778%	45	75.5556%	45	251
86.1538%	65	81.5385%	65	75.3846%	65	252
100.0000%	8	100.0000%	8	100.0000%	8	253
82.6087%	23	86.9565%	23	78.2609%	23	254
97.7273%	44	93.1818%	44	90.9091%	44	255
83.3333%	6	66.6667%	6	66.6667%	6	256
100.0000%	8	100.0000%	8	100.0000%	8	257
75.0000%	8	50.0000%	8	50.0000%	8	258
100.0000%	9	100.0000%	9	100.0000%	9	259
89.4737%	19	84.2105%	19	84.2105%	19	260
70.0000%	10	70.0000%	10	60.0000%	10	261
100.0000%	7	100.0000%	7	100.0000%	7	262
100.0000%	3	100.0000%	3	100.0000%	3	263
85.7143%	14	100.0000%	14	85.7143%	14	264
75.0000%	4	100.0000%	4	75.0000%	4	265
33.3333%	3	0.0000%	3	0.0000%	3	266
80.0000%	20	75.0000%	20	70.0000%	20	267
100.0000%	6	100.0000%	6	100.0000%	6	268
100.0000%	5	100.0000%	5	100.0000%	5	269
91.6667%	12	58.3333%	12	58.3333%	12	270
100.0000%	8	87.5000%	8	87.5000%	8	271
91.6667%	36	83.3333%	36	83.3333%	36	272
78.4314%	51	84.3137%	51	72.5490%	51	273
89.1304%	46	80.4348%	46	73.9130%	46	274
92.2078%	77	90.9091%	77	88.3117%	77	275
97.5000%	40	100.0000%	40	97.5000%	40	276
100.0000%	23	100.0000%	23	100.0000%	23	277
92.8571%	28	96.4286%	28	89.2857%	28	278
100.0000%	5	100.0000%	5	100.0000%	5	279
87.5000%	8	100.0000%	8	87.5000%	8	280
85.7143%	21	71.4286%	21	71.4286%	21	281
100.0000%	8	100.0000%	8	100.0000%	8	282
71.4286%	7	28.5714%	7	28.5714%	7	283
87.5000%	16	87.5000%	16	81.2500%	16	284
93.5484%	31	93.5484%	31	87.0968%	31	285
95.8904%	73	93.1507%	73	93.1507%	73	286
100.0000%	8	100.0000%	8	100.0000%	8	287
94.4444%	18	83.3333%	18	83.3333%	18	288
88.6792%	53	81.1321%	53	75.4717%	53	289
91.5254%	59	86.4407%	59	83.0508%	59	290
86.3636%	44	75.0000%	44	70.4545%	44	291
95.1807%	83	92.7711%	83	89.1566%	83	292
93.6709%	79	89.8734%	79	88.6076%	79	293
93.5484%	62	96.7742%	62	93.5484%	62	294
94.1176%	17	88.2353%	17	88.2353%	17	295
88.8889%	18	100.0000%	18	88.8889%	18	296
92.0000%	25	72.0000%	25	72.0000%	25	297
91.0448%	67	85.0746%	67	80.5970%	67	298
96.9697%	33	96.9697%	33	93.9394%	33	299
75.7576%	33	69.6970%	33	66.6667%	33	300
94.8718%	39	94.8718%	39	89.7436%	39	301
92.1053%	76	93.4211%	76	88.1579%	76	302
89.1566%	83	86.7470%	83	83.1325%	83	303
87.5000%	40	95.0000%	40	82.5000%	40	304
88.5714%	35	91.4286%	35	85.7143%	35	305
100.0000%	22	95.4545%	22	95.4545%	22	306
83.3333%	6	100.0000%	6	83.3333%	6	307
92.3077%	26	84.6154%	26	84.6154%	26	308
76.9231%	13	92.3077%	13	76.9231%	13	309
95.6522%	23	86.9565%	23	86.9565%	23	310
80.9524%	21	66.6667%	21	57.1429%	21	311
100.0000%	20	95.0000%	20	95.0000%	20	312
79.1667%	24	75.0000%	24	62.5000%	24	313
100.0000%	2	100.0000%	2	100.0000%	2	314
88.3871%	155	87.0968%	155	80.0000%	155	315
90.6250%	96	84.3750%	96	81.2500%	96	316
100.0000%	18	100.0000%	18	100.0000%	18	317
